Turn,Speaker,Cue,Capsules,Capsules OIE
13,Caya,I am curious. What types of Instance like good do food orInstance usually smell,,"[{'chat': 10, 'turn': 12, 'author': 'Leolani', 'utterance': 'I am curious. What types of Instance like good do food orInstance usually smell', 'utterance_type': 'STATEMENT', 'position': '0-79', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'am', 'type': []}, 'object': {'label': 'curious', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:10:44.294011', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
14,Leolani2,It is raining,,
15,Caya,Let me ask you something. What types of it orInstance like raining do Instance usually be,,"[{'chat': 10, 'turn': 14, 'author': 'Leolani', 'utterance': 'Let me ask you something. What types of it orInstance like raining do Instance usually be', 'utterance_type': 'STATEMENT', 'position': '0-89', 'subject': {'label': 'me', 'type': []}, 'predicate': {'label': 'ask', 'type': []}, 'object': {'label': 'you', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:10:57.291325', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 14, 'author': 'Leolani', 'utterance': 'Let me ask you something. What types of it orInstance like raining do Instance usually be', 'utterance_type': 'STATEMENT', 'position': '0-89', 'subject': {'label': 'me', 'type': []}, 'predicate': {'label': 'ask', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:10:57.291325', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 14, 'author': 'Leolani', 'utterance': 'Let me ask you something. What types of it orInstance like raining do Instance usually be', 'utterance_type': 'STATEMENT', 'position': '0-89', 'subject': {'label': 'Instance', 'type': []}, 'predicate': {'label': 'usually be like', 'type': []}, 'object': {'label': 'raining', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:10:57.291325', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 14, 'author': 'Leolani', 'utterance': 'Let me ask you something. What types of it orInstance like raining do Instance usually be', 'utterance_type': 'STATEMENT', 'position': '0-89', 'subject': {'label': 'Instance', 'type': []}, 'predicate': {'label': 'be like', 'type': []}, 'object': {'label': 'raining', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:10:57.291325', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
16,Leolani2,Lions roar ,,
17,Caya,May I ask you why?,,"[{'chat': 10, 'turn': 16, 'author': 'Leolani', 'utterance': 'May I ask you why?', 'utterance_type': 'STATEMENT', 'position': '0-18', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'May ask', 'type': []}, 'object': {'label': 'you', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:11:10.373603', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
18,Leolani2,Lions are territorial animals,,"[{'chat': 10, 'turn': 17, 'author': 'Leolani', 'utterance': 'Lions are territorial animals', 'utterance_type': 'STATEMENT', 'position': '0-29', 'subject': {'label': 'Lions', 'type': []}, 'predicate': {'label': 'are', 'type': []}, 'object': {'label': 'animals', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:11:16.870296', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 17, 'author': 'Leolani', 'utterance': 'Lions are territorial animals', 'utterance_type': 'STATEMENT', 'position': '0-29', 'subject': {'label': 'Lions', 'type': []}, 'predicate': {'label': 'are', 'type': []}, 'object': {'label': 'territorial animals', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:11:16.870296', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
19,Caya,"I just learned something, I did not know anything that lions be",,
20,Leolani2,Ella likes books,,"[{'chat': 10, 'turn': 19, 'author': 'Leolani', 'utterance': 'Ella likes books', 'utterance_type': 'STATEMENT', 'position': '0-16', 'subject': {'label': 'Ella', 'type': []}, 'predicate': {'label': 'likes', 'type': []}, 'object': {'label': 'books', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:11:29.771923', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
21,Caya,I am curious. Has ella own object?,,"[{'chat': 10, 'turn': 20, 'author': 'Leolani', 'utterance': 'I am curious. Has ella own object?', 'utterance_type': 'STATEMENT', 'position': '0-34', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'am', 'type': []}, 'object': {'label': 'curious', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:11:36.233698', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
22,Leolani2,Ella is a person,,"[{'chat': 10, 'turn': 21, 'author': 'Leolani', 'utterance': 'Ella is a person', 'utterance_type': 'STATEMENT', 'position': '0-16', 'subject': {'label': 'Ella', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'person', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:11:42.769507', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
23,Caya,If you don't mind me asking. Has ella ever like by a agent?,,
24,Leolani2,I do not know,,
25,Caya,"I just learned something, I am excited to get to know about you!",,"[{'chat': 10, 'turn': 24, 'author': 'Leolani', 'utterance': 'I just learned something, I am excited to get to know about you!', 'utterance_type': 'STATEMENT', 'position': '0-64', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'just learned', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:12:02.355673', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 24, 'author': 'Leolani', 'utterance': 'I just learned something, I am excited to get to know about you!', 'utterance_type': 'STATEMENT', 'position': '0-64', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'get', 'type': []}, 'object': {'label': 'know', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:12:02.355673', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 24, 'author': 'Leolani', 'utterance': 'I just learned something, I am excited to get to know about you!', 'utterance_type': 'STATEMENT', 'position': '0-64', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'am', 'type': []}, 'object': {'label': 'excited', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:12:02.355673', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 24, 'author': 'Leolani', 'utterance': 'I just learned something, I am excited to get to know about you!', 'utterance_type': 'STATEMENT', 'position': '0-64', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'learned', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:12:02.355673', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 24, 'author': 'Leolani', 'utterance': 'I just learned something, I am excited to get to know about you!', 'utterance_type': 'STATEMENT', 'position': '0-64', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'get', 'type': []}, 'object': {'label': 'to know about you', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:12:02.355673', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 24, 'author': 'Leolani', 'utterance': 'I just learned something, I am excited to get to know about you!', 'utterance_type': 'STATEMENT', 'position': '0-64', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'get', 'type': []}, 'object': {'label': 'know about you', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:12:02.355673', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 24, 'author': 'Leolani', 'utterance': 'I just learned something, I am excited to get to know about you!', 'utterance_type': 'STATEMENT', 'position': '0-64', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'get', 'type': []}, 'object': {'label': 'to know', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:12:02.355673', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
26,Leolani2,What do I own? ,,
27,Caya,you told me you own no object and that you own a laptop ,,"[{'chat': 10, 'turn': 26, 'author': 'Leolani', 'utterance': 'you told me you own no object and that you own a laptop ', 'utterance_type': 'STATEMENT', 'position': '0-56', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'told', 'type': []}, 'object': {'label': 'me', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:12:15.412389', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
28,Leolani2,A laptop is a object,,"[{'chat': 10, 'turn': 27, 'author': 'Leolani', 'utterance': 'A laptop is a object', 'utterance_type': 'STATEMENT', 'position': '0-20', 'subject': {'label': 'laptop', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'object', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:12:21.918122', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
29,Caya,If you don't mind me asking. Has a laptop like agent?,,
30,Leolani2,Mincke is 24 years old,,"[{'chat': 10, 'turn': 29, 'author': 'Leolani', 'utterance': 'Mincke is 24 years old', 'utterance_type': 'STATEMENT', 'position': '0-22', 'subject': {'label': 'Mincke', 'type': []}, 'predicate': {'label': 'is old', 'type': []}, 'object': {'label': '24 years', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:12:34.902711', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
31,Caya,I am glad to have learned something new. I did not know anybody that mincke be,,"[{'chat': 10, 'turn': 30, 'author': 'Leolani', 'utterance': 'I am glad to have learned something new. I did not know anybody that mincke be', 'utterance_type': 'STATEMENT', 'position': '0-78', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'learned', 'type': []}, 'object': {'label': 'something new', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:12:41.367177', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 30, 'author': 'Leolani', 'utterance': 'I am glad to have learned something new. I did not know anybody that mincke be', 'utterance_type': 'STATEMENT', 'position': '0-78', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'am', 'type': []}, 'object': {'label': 'glad', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:12:41.367177', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 30, 'author': 'Leolani', 'utterance': 'I am glad to have learned something new. I did not know anybody that mincke be', 'utterance_type': 'STATEMENT', 'position': '0-78', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'learned', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:12:41.367177', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
32,Leolani2,I am 2 years younger than Mincke,,"[{'chat': 10, 'turn': 31, 'author': 'Leolani', 'utterance': 'I am 2 years younger than Mincke', 'utterance_type': 'STATEMENT', 'position': '0-32', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'am younger', 'type': []}, 'object': {'label': '2 years', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:12:47.880011', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 31, 'author': 'Leolani', 'utterance': 'I am 2 years younger than Mincke', 'utterance_type': 'STATEMENT', 'position': '0-32', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'am', 'type': []}, 'object': {'label': '2 years younger than Mincke', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:12:47.880011', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
33,Caya,I am curious. Has caya experience smell?,,"[{'chat': 10, 'turn': 32, 'author': 'Leolani', 'utterance': 'I am curious. Has caya experience smell?', 'utterance_type': 'STATEMENT', 'position': '0-40', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'am', 'type': []}, 'object': {'label': 'curious', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:12:54.384674', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
34,Leolani2,All people can smell,,
35,Caya,Let me ask you something. What types can all people can smell,,"[{'chat': 10, 'turn': 34, 'author': 'Leolani', 'utterance': 'Let me ask you something. What types can all people can smell', 'utterance_type': 'STATEMENT', 'position': '0-61', 'subject': {'label': 'me', 'type': []}, 'predicate': {'label': 'ask', 'type': []}, 'object': {'label': 'you', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:13:07.372304', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 34, 'author': 'Leolani', 'utterance': 'Let me ask you something. What types can all people can smell', 'utterance_type': 'STATEMENT', 'position': '0-61', 'subject': {'label': 'me', 'type': []}, 'predicate': {'label': 'ask', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:13:07.372304', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
36,Leolani2,How old am I?,,
37,Caya,you told me you do not are know and that you are 2 years younger than mincke,,
38,Leolani2,Where I live in? ,,
39,Caya,"I may be ignorant, bu tI don't know.I am sorry, I have no idea",,
40,Leolani2,Where live I in?,,
41,Caya,I don't know,,
42,Leolani2,Mincke likes Apple pie,,"[{'chat': 10, 'turn': 41, 'author': 'Leolani', 'utterance': 'Mincke likes Apple pie', 'utterance_type': 'STATEMENT', 'position': '0-22', 'subject': {'label': 'Mincke', 'type': []}, 'predicate': {'label': 'likes', 'type': []}, 'object': {'label': 'Apple pie', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:13:52.971632', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
43,Caya,"I just learned something, I had never heard about apple pie before!",,"[{'chat': 10, 'turn': 42, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about apple pie before!', 'utterance_type': 'STATEMENT', 'position': '0-67', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard about', 'type': []}, 'object': {'label': 'apple pie', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:13:59.356761', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 42, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about apple pie before!', 'utterance_type': 'STATEMENT', 'position': '0-67', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'just learned', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:13:59.356761', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 42, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about apple pie before!', 'utterance_type': 'STATEMENT', 'position': '0-67', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'learned', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:13:59.356761', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 42, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about apple pie before!', 'utterance_type': 'STATEMENT', 'position': '0-67', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard before about', 'type': []}, 'object': {'label': 'apple pie', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:13:59.356761', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
44,Leolani2,Apple pie is a cake ,,"[{'chat': 10, 'turn': 43, 'author': 'Leolani', 'utterance': 'Apple pie is a cake ', 'utterance_type': 'STATEMENT', 'position': '0-20', 'subject': {'label': 'Apple pie', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'cake', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:14:05.858268', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
45,Caya,Exciting news! I did not know anybody who be a cake,,
46,Leolani2,A cake is a dish,,"[{'chat': 10, 'turn': 45, 'author': 'Leolani', 'utterance': 'A cake is a dish', 'utterance_type': 'STATEMENT', 'position': '0-16', 'subject': {'label': 'cake', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'dish', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:14:20.498163', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
47,Caya,If you don't mind me asking. What types can a cake be,,
48,Leolani2,I like pizza,,"[{'chat': 10, 'turn': 47, 'author': 'Leolani', 'utterance': 'I like pizza', 'utterance_type': 'STATEMENT', 'position': '0-12', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'like', 'type': []}, 'object': {'label': 'pizza', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:14:35.294593', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
49,Caya,I am curious. Has caya favorite interest?,,"[{'chat': 10, 'turn': 48, 'author': 'Leolani', 'utterance': 'I am curious. Has caya favorite interest?', 'utterance_type': 'STATEMENT', 'position': '0-41', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'am', 'type': []}, 'object': {'label': 'curious', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:14:42.083366', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
50,Leolani2,I am an equestrian,,"[{'chat': 10, 'turn': 49, 'author': 'Leolani', 'utterance': 'I am an equestrian', 'utterance_type': 'STATEMENT', 'position': '0-18', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'am', 'type': []}, 'object': {'label': 'equestrian', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:14:49.720279', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
51,Caya,"Cool! Now I know 2 items that caya be, like 2 years younger than mincke and 2 years younger than mincke",,"[{'chat': 10, 'turn': 50, 'author': 'Leolani', 'utterance': 'Cool! Now I know 2 items that caya be, like 2 years younger than mincke and 2 years younger than mincke', 'utterance_type': 'STATEMENT', 'position': '0-103', 'subject': {'label': 'caya', 'type': []}, 'predicate': {'label': 'be younger', 'type': []}, 'object': {'label': '2 years', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:14:56.151336', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 50, 'author': 'Leolani', 'utterance': 'Cool! Now I know 2 items that caya be, like 2 years younger than mincke and 2 years younger than mincke', 'utterance_type': 'STATEMENT', 'position': '0-103', 'subject': {'label': 'caya', 'type': []}, 'predicate': {'label': 'be', 'type': []}, 'object': {'label': '2 years younger than mincke than mincke', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:14:56.151336', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 50, 'author': 'Leolani', 'utterance': 'Cool! Now I know 2 items that caya be, like 2 years younger than mincke and 2 years younger than mincke', 'utterance_type': 'STATEMENT', 'position': '0-103', 'subject': {'label': 'caya', 'type': []}, 'predicate': {'label': 'be', 'type': []}, 'object': {'label': '2 years younger than mincke', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:14:56.151336', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 50, 'author': 'Leolani', 'utterance': 'Cool! Now I know 2 items that caya be, like 2 years younger than mincke and 2 years younger than mincke', 'utterance_type': 'STATEMENT', 'position': '0-103', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'Now know', 'type': []}, 'object': {'label': '2 items', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:14:56.151336', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 50, 'author': 'Leolani', 'utterance': 'Cool! Now I know 2 items that caya be, like 2 years younger than mincke and 2 years younger than mincke', 'utterance_type': 'STATEMENT', 'position': '0-103', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'know', 'type': []}, 'object': {'label': '2 items', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:14:56.151336', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
52,Leolani2,Mincke lives in Utrecht,,"[{'chat': 10, 'turn': 51, 'author': 'Leolani', 'utterance': 'Mincke lives in Utrecht', 'utterance_type': 'STATEMENT', 'position': '0-23', 'subject': {'label': 'Mincke', 'type': []}, 'predicate': {'label': 'lives in', 'type': []}, 'object': {'label': 'Utrecht', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:15:02.763527', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
